Project Title,Objective,OutCome,Skills,SuperVisior
AI Chatbot-Integrated College Helpdesk Website,Provide 24×7 automated student support Reduce manual helpdesk workload Improve response time and accuracy Centralize college information Enhance user experience through AI chatbot,Product,HTML CSS JavaScript Python Natural Language Processing,Jasmeet Kaur(E17596)
AI-Based Disease Risk Prediction System using Machine Learning,Analyze medical and lifestyle datasets Build ML models for disease risk prediction Compare accuracy of multiple algorithms Support early disease detection Improve preventive healthcare outcomes,Research paper,Python Machine Learning Data Analysis Statistics Healthcare Data,Jasmeet Kaur(E17596)
Smart Irrigation System Using IoT,To design an automated irrigation system using soil moisture sensors. To monitor real-time soil conditions using IoT technology. To reduce water wastage through automatic water control. To improve crop productivity using smart farming techniques.,Product,Electronics Arduino Sensors,Yogita(E19584)
NGO Networking Platform (LokaSamyoga),To develop LokaSamyoga a specialized social networking platform connecting NGOs volunteers and do,Product,Full-Stack Web Development Database Management UI/UX Design Cloud Deployment Security,Puja Shrivastava(E17060)
Smart Traffic Light System Using Sensors,To develop an intelligent traffic control system using sensors. To detect vehicle density at traffic junctions. To dynamically control traffic lights based on real-time traffic. To reduce traffic congestion and waiting time.,Product,Arduino programming sensor interfacing microcontroller basics traffic management logic C/C++ or,Yogita(E19584)
Smart Traffic Signal Control System,Design a system that uses camera input to monitor traffic and adjust signal timing. This reduces wait time at junctions and improves road safety.,Product,Real-time data processing automation,Gyan Chand Yadav(E12247)
Blockchain-Based Voting System,Create a simple and secure voting system for college elections using blockchain. Voters cast their votes online and the data is protected from tamperin,Product,Solidity Ethereum web3 tools,Gyan Chand Yadav(E12247)
Career Chatbot for Students,Build a chatbot that gives students career advice based on their interests and subjects. The chatbot guides users by asking questions,Product,AI interaction decision logic,Gyan Chand Yadav(E12247)
Campus Guide App for New Students,Create a mobile app that helps students find departments classrooms and labs inside the campus. Use QR codes or simple map navigation.,Product,App development location services,Gyan Chand Yadav(E12247)
Home Energy Monitoring App,Build a system that tracks energy usage from household appliances. Users can view reports through a mobile or web app and receive alerts,Product,IoT energy efficiency app development,Gyan Chand Yadav(E12247)
Resume Builder with Smart Suggestions,Develop an online tool where users create resumes and receive smart tips to improve them. The tool can suggest better formats or missing,Product,Cloud development user interface design,Gyan Chand Yadav(E12247)
AI-Based Spam Message Classifier,Data preprocessing Vectorization .ML algorithms (Naive Bayes SVM),Product,Python Scikit-learn and NLP,Gyan Chand Yadav(E12247)
Expense Tracker App,Expense Tracker App,Product,c python,Gyan Chand Yadav(E12247)
Face Recognition–Based Door Lock System,The objective of this project is to design a secure and intelligent door locking system that authenticates users based on facial recognition. The system aims to replace traditional key-based or password-based locks with a contactless automated and reliable security solution using computer vision and artificial intelligence.,Patent,IoT programming in Arduino,Anu Kaushik(E12329)
AI-Powered Virtual Personal Fitness Trainer,1. Use AI to suggest personalized workout plans. 2. Track user progress and fitness metrics. 3. Integrate feedback mechanisms for performance improvement.,Book Chapter,TensorFlow/Keras Data Analysis Fitness APIs GUI Development.,Shaurya Vir Singh Pathania(E14642)
Real-Time Waste Bin Monitoring System for Smart Cities,The objective of this project is to develop an intelligent waste monitoring system that automatically detects the garbage fill level in waste bins and notifies the concerned authorities when the bins are full. This helps in timely waste collection prevents overflow improves cleanliness and supports efficient waste management in smart cities.,Patent,IoT programming in Arduino,Anu Kaushik(E12329)
GreenGrow: Automated Irrigation System,to automatically control water supply to plants based on soil moisture levels reducing water wastage and manual effort.,Patent,IoT programming in Arduino,Anu Kaushik(E12329)
Sleep targets highly connected global and local nodes to aid consolidation of learned graph networks,Shows how sleep influences memory consolidation through brain network activity — excellent for cognitive neuroscience emphasis.,Research paper,c++,Gurpreet Kaur(E12272)
Flower Classification,Build a model to classify flowers accurately,Research paper,Python Scikit-learn Jupyter Notebook,Ankita Dhiman(E11431)
Graph Neural Networks in Network Neuroscience,: Reviews how modern graph-based AI tools help model brain connectivity. Great if you're interested in neuroimaging or computational neuroscience.,Research paper,c++,Gurpreet Kaur(E12272)
Foundation and Large-Scale AI Models in Neuroscience: A Comprehensive Review,Connects large neural models and neuroscience research — ideal for cutting-edge interests.,Research paper,c++,Gurpreet Kaur(E12272)
The Human Connectome Project: A data acquisition perspective,Landmark paper on large-scale mapping of human brain connectivity.,Research paper,c++,Gurpreet Kaur(E12272)
Digital Peer Support Platforms and Mental Health Outcomes Among Young Adults",Evaluate how app-based peer support affects anxiety and depression outcomes using mixed methods (surveys interviews app usage data).,Product,Python DB C++,Gurpreet Kaur(E12272)
Smart Attendance System using RFID,To eliminate manual attendance errors ensure accuracy and enhance administrative efficiency.,Product,RFID Technology Microcontrollers Databases,Jaspreet Singh(E7231)
"Algorithms Bias and Inequality: Analyzing Social Media Recommendation Systems",Investigate how algorithmic feeds contribute to reinforcement of social biases and unequal access to information combining machine learning analysis with sociological theory.,Research paper,Python DB C++,Gurpreet Kaur(E12272)
Smart Attendance Management System using MERN Stack,The objective of this project is to design and implement a web-based attendance system that simplifies attendance tracking for academic institutions. The system aims to automate attendance recording reduce paperwork ensure data accuracy and provide easy access to attendance reports. It also helps students monitor their attendance status and supports faculty with efficient data management.,Product,HTML CSS JavaScript React.js Node.js,Aniket Malik(E19687)
Cloud Based Inventory Management System,To streamline inventory operations reduce losses and enable real-time decision-making for enterprises.,Research paper,Cloud Platforms SQL/NoSQL,Jaspreet Singh(E7231)
Healthy Learning in a Digital Age: Social Engagement Brain Development and Early Media Use,Healthy Learning in a Digital Age: Social Engagement Brain Development and Early Media Use,Research paper,Python DB C++,Gurpreet Kaur(E12272)
DDoS Attack Detection and Mitigation System,To identify traffic anomalies classify DDoS attacks and improve network availability.,Research paper,Networking Python,Jaspreet Singh(E7231)
REM Sleep Patterns Memory and Emotional Resilience in Young Adults,REM Sleep Patterns Memory and Emotional Resilience in Young Adults,Research paper,Python DB C++,Gurpreet Kaur(E12272)
Sales Forecasting Using Machine Learning Technique,To improve demand planning and inventory management through accurate forecasting.,Research paper,Python ML Regression Data Analysis,Jaspreet Singh(E7231)
Phishing Website Detection Using Python,Detect phishing URLs Analyze suspicious patterns Improve user awareness Reduce online fraud risks,Product,Python Data Analysis Basic ML Networking Basics Logic Building,Manpreet Kaur(E12698)
Sentiment Analysis of Social Media for Mental Health Awareness,Analyze sentiment from text data Identify mental health indicators Apply NLP techniques Generate meaningful insights,Research paper,Python NLP Machine Learning Data Mining Text Processing,Manpreet Kaur(E12698)
Smart Waste Management System Using IoT,Monitor waste levels automatically Reduce overflow of garbage bins Optimize waste collection process Promote smart city solutions,Product,IoT Basics Sensors Embedded Systems Python Networking,Manpreet Kaur(E12698)
Personal Expense Tracker Using C++,Track personal expenses Improve financial awareness Practice OOP concepts Implement file handling,Product,C++ File Handling OOP Basics Logic Building Data Structures,Manpreet Kaur(E12698)
CodeDiff: An Intuitive Web Platform for Efficient Code Comparison & Versioning,Develop a user-friendly web interface for code comparison with real-time diff visualization syntax highlighting and multi-language support. Integrate version control features for tracking changes and collaboration. Ensure responsive design for accessibility across devices. Promote understanding of code differences enhance debugging efficiency and foster collaborative coding by providing an intuitive platform suitable for developers students and educators.,Product,HTML CSS JavaScript Basic Git Familiarity with Code Editors,Mohit Singh Bisht(E16333)
LearnCode Hub: An Interactive Platform for Coding Tutorials and Quizzes,Create an engaging user-friendly website with interactive tutorials embedded code editors and quizzes. Enable learners to practice coding in real-time receive immediate feedback and track their progress. Incorporate multimedia content to cater to different learning styles and implement gamification elements to motivate users. The goal is to enhance coding literacy boost confidence and provide an accessible platform for self-paced learning.,Product,HTML CSS JavaScript Basic Programming UI/UX Design,Mohit Singh Bisht(E16333)
SnippetShare: A Collaborative Platform for Sharing and Managing Code Snippets,Develop an intuitive collaborative web platform allowing users to share and manage code snippets. Implement user authentication real-time editing commenting and categorization. Enable efficient searching and filtering by tags or keywords. Focus on responsive design security and scalability. The goal is to foster a community where developers can learn from each other improve coding skills and contribute to a shared knowledge base seamlessly.,Product,Full Stack Development HTML CSS JavaScript Backend APIs Database Management,Mohit Singh Bisht(E16333)
Online Multi-language Compiler: An Interactive Web-Based Coding Platform,Create a responsive multi-language online compiler that enables users to write and run code securely. Implement language-specific editors with syntax highlighting code execution via backend APIs and output display areas. Ensure cross-browser compatibility and user-friendly interface. Include features like code saving history and error messages. Aim to facilitate learning testing and quick code execution in a unified web platform.,Product,Full Stack Development Web Technologies JavaScript Backend Integration Data Handling,Mohit Singh Bisht(E16333)
CodeAnalyzer: Static Code Analysis and Feedback Tool,Develop an intuitive platform that accepts code input performs static analysis and delivers actionable feedback. Incorporate syntax highlighting error detection and suggestions for improvements. Ensure secure code handling and support multiple programming languages. Provide a user-friendly interface with clear visual cues and detailed reports. The goal is to enhance code quality promote best practices and serve as an educational aid for learners and professionals.,Product,Full Stack Development Static Code Analysis JavaScript Backend APIs Data Validation,Mohit Singh Bisht(E16333)
Programming Language Quiz Master: An Interactive Coding Language Knowledge Game,Develop a dynamic quiz application that presents language-related questions evaluates answers and displays scores. Implement timers score counters and feedback messages to motivate users. Ensure a responsive interface adaptable to different devices. Include features for question randomization and progress tracking. The goal is to promote learning through gamification making programming language knowledge accessible and enjoyable.,Product,Web Development JavaScript UI Design Data Structures & Algorithms Interactive Content,Mohit Singh Bisht(E16333)
TechConnect: A Collaborative Platform for Students to Share Learn and Code Together,Create an interactive community platform facilitating student collaboration on coding tasks. Include features such as project creation shared code editors discussion forums and leaderboards for challenges. Ensure a responsive user-friendly interface with secure authentication. Integrate code sharing with syntax highlighting and real-time updates. The goal is to promote practical learning teamwork and networking among aspiring developers.,Product,Web Development Collaboration Tools Frontend & Backend User Management Version Control Integrati,Mohit Singh Bisht(E16333)
Stress detection from social media posts using machine learning,Gathering the data cleaning the data Model building and Inference,Research paper,Machine learning and python,Navjot Kaur(E17204)
Anomaly detection system in IoT,Gathering the data cleaning the data Model building and Inference,Research paper,Machine learning and python,Navjot Kaur(E17204)
Online Complaint and Grievance Redressal System using MERN Stack,The main objective of this project is to design a digital grievance management platform that simplifies complaint registration and resolution. It aims to reduce paperwork enhance transparency ensure timely responses and maintain proper records of grievances. The system also enables administrators to analyze complaint trends and improve institutional decision-making processes.,Product,HTML CSS JavaScript React.js Node.js,Aniket Malik(E19687)
College Event Management Portal using MERN Stack,The objective of this project is to build a centralized web-based platform for managing college events efficiently. It aims to automate event creation registration and participant tracking reduce paperwork and improve communication between organizers and students. The system also provides structured event data for future analysis and reporting.,Product,HTML CSS JavaScript React.js Node.js,Aniket Malik(E19687)
Student Performance Tracking Android Application,Record student marks and attendance Analyze academic performance trends Visualize progress using charts Help teachers identify weak areas Support continuous student evaluation,Product,Java/Kotlin Android Studio SQLite/Firebase UI Design Basic Data Analysis,Jasmeet Kaur(E17596)
Smart IoT-Based Energy Monitoring and Optimization System,To monitor real-time energy usage analyze consumption patterns reduce wastage and promote energy-efficient practices through data-driven insights and alerts.,Competition,Embedded C IoT Protocols Sensors & Actuators Arduino/ESP32 Basic Networking,Jaspreet Singh (E1320)
Smart Air Quality Monitoring and Alert System,The objective is to design an intelligent system that continuously monitors air pollution levels and provides timely alerts to users and authorities. The project aims to promote awareness of air quality support preventive measures and encourage data-driven environmental protection using affordable and scalable hardware solutions.,Product,Embedded Systems IoT Sensor Interfacing Data Communication Cloud Basics,Puja Shrivastava(E17060)
Smart Forest Fire Detection System,The objective is to provide early detection of forest fires to reduce large-scale damage to forests and wildlife. The project aims to support forest protection by enabling timely alerts minimizing response time and promoting the use of basic embedded systems for environmental safety.,Product,Microcontrollers Sensor Interfacing Embedded C Circuit Design Troubleshooting,Puja Shrivastava(E17060)
GIS-Based Forest Cover Change Detection System,The objective is to develop a software tool that monitors forest cover changes and identifies deforestation trends. The project aims to support environmental planning protect biodiversity and assist policymakers by providing accurate data-driven insights for sustainable forest conservation.,Product,Python Data Analytics GIS Basics Image Processing Visualization,Puja Shrivastava(E17060)
Futuristic Cloud Data Centers: Intelligent Resource Optimization for Next-Generation Computing,Design an AI-assisted resource optimization framework for heterogeneous cloud data centers. Model and simulate workload-aware scheduling that improves utilization and QoS. Analyze energy and carbon impacts of optimization policies. Map the framework's contributions to relevant SDGs and propose guidelines for sustainable cloud operations.,Research paper,Cloud computing fundamentals (IaaS PaaS SaaS) Basics of virtualization and containers Introducto,Vaneet Kumar(E11321)
AI-Enabled Smart Waste Segregation System,To automate waste segregation reduce human intervention and enhance recycling efficiency using AI-driven decision-making.,Competition,Python Image Processing Embedded Systems Sensors Machine Learning Basics,Jaspreet Singh (E1320)
Health Monitoring Device for Early Detection of Cardiac Anomalies,To design an affordable wearable solution for continuous cardiac monitoring that improves early diagnosis reduces hospital dependency and supports remote healthcare services.,Product,Biomedical Sensors Signal Processing IoT Microcontrollers,Jaspreet Singh (E1320)
Smart Irrigation System Using IoT for Efficient Water Management,To automate irrigation using soil moisture sensing To reduce water wastage To monitor irrigation remotely using IoT,Product,Embedded Systems IoT Arduino Sensors Basic Networking,Amandeep Kaur(E11813)
Intelligent Traffic Signal Control System Using Real-Time Sensor Data,To design an adaptive traffic control system that enhances road efficiency reduces waiting time and minimizes vehicular emissions.,Research paper,Embedded Systems Sensors Control Systems IoT Networking,Jaspreet Singh (E1320)
Quantum-Aware Cloud Data Centers: A New Paradigm for Resource Optimization,Develop hybrid scheduling algorithms for quantum-classical resource optimization. Simulate quantum-aware workload placement and error mitigation strategies. Evaluate energy efficiency and scalability for real-world quantum cloud apps. Propose sustainable integration guidelines for next-gen data centers.,Research paper,Cloud computing fundamentals (IaaS PaaS SaaS) Basics of virtualization and containers Introducto,Vaneet Kumar(E11321)
Cloud-Based Disaster Management and Emergency Response Platform,To enhance disaster preparedness and response efficiency using scalable cloud infrastructure and real-time data analytics.,Hackathon,Cloud Computing Web Development,Jaspreet Singh (E1320)
IoT Based Smart Energy Meter for Real-Time Power Monitoring,To monitor real-time energy consumption To enable remote power monitoring To reduce electricity wastage,Patent,IoT Embedded Systems Sensors Arduino Cloud Basics,Amandeep Kaur(E11813)
Smart Dustbin System for Efficient Waste Management Using IoT,To monitor garbage levels automatically To improve waste collection efficiency To reduce overflow and pollution To support smart city initiatives To maintain cleanliness,Product,Arduino IoT Sensors Embedded Systems Basic Programming,Amandeep Kaur(E11813)
Cloud-Managed Smart Energy Meter for Real-Time Power Analytics,To enable real-time energy monitoring and promote efficient electricity usage through cloud analytics.,Product,IoT Cloud Platforms Data Analytics Networking,Jaspreet Singh (E1320)
AI-Based Resume Screening System Using Machine Learning,To automate resume screening To reduce recruitment time To improve candidate shortlisting accuracy To minimize human bias To support data-driven hiring,Patent,Python Machine Learning NLP Data Analysis SQL,Amandeep Kaur(E11813)
